text,text_verified,verified
"أنا قرد، آكل الموز، لوني بني، أعيش في الغابة مع عائلتي، نأكل الفاكهة، وهي لذيذة كالحلوى المصنّعة.","","false"
"المدينة كبيرة جدًا، واسعة جدًا، شاهقة جدًا. النجوم كعيون تحدق بك. المدينة: صاخبة جدًا، ساطعة جدًا، كضوء القمر. المدينة جميلة جدًا.","","false"
"الطعام، الطعام، يا له من طعام رائع! دجاج، بازلاء، بطاطس وخضراوات. كم أعشق الطعام! في الصباح، في المساء. فطور، عشاء، وحتى غداء. أينما كنت، ومهما كان الوقت، سأظل أعشق الطعام!","","false"
"تفاجأت السلحفاة التي سبحت عبر البركة برؤية الضفادع.","","false"
"أحب شوكولاتة هيرشي، وإذا أخذتها سأصرخ في وجهك. إنها طرية جداً.","","false"
"في صباح أحد الأيام وجدت ضفدعاً على رأسي، فسألته: ماذا تفعل على رأسي؟ فأجاب: أنا آكل الحلوى.","","false"
"استيقظتُ ذات صباح، فرأيتُ طفلاً عند الباب يُدعى كورنينج. سألته: "ماذا تفعل هنا؟" وقفَ هناك، وحرّك شعره، وقال: "لهذا السبب أبيع الكعك، أترى؟". ثم اشتريتُ بعض الكعك الذي أطعمته لأخي.","","false"
"الجو بارد، بارد جداً، لدرجة أنك قد تتجمد. الجو بارد جداً، لدرجة أنك مضطر لارتداء ملابس دافئة. الجو بارد جداً لدرجة أنك مضطر للبقاء في الداخل.","","false"
"عقلٌ ​​مبدعٌ يعمل. قويٌّ وصلب! ذكيٌّ، ضخم الجثة. لديه نظاراتٌ رائعة. ابتسامةٌ ساحرة. قلبٌ طيب. مهذبٌ وذو أخلاقٍ رفيعة. أبٌ سعيد. طويلٌ جدًّا كزرافة. هذا هو أبي حقًّا.","","false"
"استيقظتُ ذات صباح، فصرخ سنجابٌ على رأسي. سألته: "ماذا تفعل هنا؟" نظر إليّ وقال: "لم أجد طاولةً، فجلستُ هنا. أرى أنك لا تملك اشتراكًا في التلفزيون المدفوع. لقد أكلتُ من خبزك." "في طريقي إلى نهاية الممر، فقدتُ الإحساس بالوقت. قررتُ الاتصال بأصدقائي. سيصلون قريبًا، ستكتشف ذلك بنفسك." انحنيتُ برأسي في رعب. ستغضب أمي بشدة! قررتُ العودة إلى الفراش وإصلاح هذا الوضع لاحقًا، ولكن كيف؟","","false"
"أحب الهامبرغر. أحب أكل الهامبرغر. لذا أصبح متخفياً يطارد قاتلاً... بقلب أختي التي أحب أن أهزم.","","false"
"عندما استيقظتُ ذات صباح، وجدتُ طائرًا جاثمًا على رأسي. سألته: ماذا تفعل هنا. نظر إليّ وقال: لقد ماتت أمك، لذا فأنا دليلك. عليك الآن أن تأكل المزيد من الخبز، وقد مات والدك أيضًا","","false"
"شجرة قيقب ضخمة تقف ثابتة تمامًا، لحاؤها أملس، أوراقها كبيرة جدًا، والناس يعلقون الدلاء","","false"
"أحيانًا يكون شعر الأولاد قصيرًا، وبعض الفتيات طويلًا. يلعب الأولاد بالسيارات، بينما تلعب الفتيات بالدمى. تمارس الفتيات الباليه، بينما يلعب الأولاد كرة القدم. ترتدي الفتيات الفساتين والتنانير، بينما يرتدي الأولاد الجينز والسراويل القصيرة. ولكن هناك شيء واحد مشترك بينهم جميعًا، فالفتيات والفتيان بشر.","","false"
"كان لديّ أوزة. ثم اشتريت أيلًا. ثم حصلت على خفاش. قفز الخفاش عليّ عندما جلست!","","false"
"جينجريلا، مرتديةً ملابس هادئة، صعدت إلى الطابق العلوي لتضرب زميلتها، لكنها أخطأت، ولكمت ثعبانًا، كم عدد العلماء الذين سيحتاجون لذلك؟ استعدوا: 1، 2، 3، 4، 5...","","false"
"أكبر من كرة غولف عملاقة. أكبر من قمر عملاق. أكبر من أرض وزنها 600 رطل. هكذا هو حجم الكون.","","false"
"أحب المحار. إنه رائع! ويكون ألذّ عندما يكون في طبقك!","","false"
"ضفادع خضراء وحمراء تتسلق وتقفز وتأكل، تتسلق الجدار، ضفدع ذو بطن ناري","","false"
"تشوباكا هو ضفدعي. يستطيع تسلق الجدران والسباحة. ويستطيع الاختباء.","","false"
"أراه على الحائط، وأشم رائحة الكعك في الردهة، وأحلم به ليلاً وفي ضوء النهار الساطع. عندما أستيقظ صباحاً أجده في مكان جديد، يبدو وكأنه يختبئ في قدر كبير في مطبخ أمي.","","false"
