text,text_verified,verified
"اسمي أليكس حسنًا، لدي شعر أشقر ولدي أخ صغير يضايقني في كل مكان. أمي تبلغ من العمر 35 عامًا، وأبي هو نفسه، وعمري 10 سنوات وأنا لست عاديًا، ووزني 72 رطلاً، وأسماء أصدقائي هي سبنسر وآنا سبنسر مثلي ولكن آنا مختلفة تمامًا، فأنا أحب أن أخبركم عني ولكن هذا كل ما لدي لك اليوم، وداعًا لفترة طويلة طويلة.","","false"
"الشتاء هنا الشتاء هناك الشتاء في كل مكان","","false"
"طويلة ونحيفة ولها الكثير مما يجب معرفته، وتغطي وترتعش في ثلوج الشتاء الباردة. لديه عائلة كبيرة معًا، لكن الناس سيعرفون أنهم لن يعيشوا إلى الأبد. قد تضحك وقد تبكي، لكن لا تقل وداعًا أبدًا، فالناس سيقطعونك بالحزن والأسى، ولكن بعد ذلك ستمضي قدمًا ليوم آخر غدًا.","","false"
"كانت الشمس حارة وكانت النجوم مخفية ولكن النجوم المضيئة مضاءة كالشمس! عدت بعد ظهر ذلك اليوم نفسه، لكنهم اختفوا، ولم يكن هناك سوى النجوم في سماء الليل.","","false"
"كرة السلة ألعبها كل يوم؛ إنها رياضتي المفضلة. أنا أحب الطريقة التي يتأرجح بها في الطوق. أنا أحب صوت ترتد الكرة.","","false"
"كانت هناك نقطة خضراء في الشارع، بها فقاعات ونقاط وأقدام أرجوانية. التقطه أحد الأطفال وأطلق عليه اسم بلوبي"، وكان هذا الطفل متعجرفًا جدًا."","","false"
"أتمنى أن يكون بيلي هو ابني الصغير لأنني أحب أن يبدو ممتلئًا. هناك السمين الصيني والياباني السمين. أنا أكره السمينة الحزينة والسعيدة السمينة تبدو مضحكة مثل السمينة. ليس هناك سمين أفضل من سمين بيلي","","false"
"أبحر ديبسي دوبسي دو في المحيط الأزرق للذهاب إلى جزيرة ماجو، عندما قال الروبوت في عش الغراب يو هوهولاند هوو"، سبح دوسي إلى الشاطئ، حيث رأى طيور الدودو سأل الدودو لماذا تعيش هنا فقط؟ طيور الدودو ثم أبحر عائداً إلى البيرو."","","false"
"كان هناك فتى اسمه تشاد الصغير يعيش مع أمه وأبيه وكان لديه غرفة صغيرة كانت عبارة عن مكنسة صغيرة وكان الصبي الفقير أو الفتى اسمه تشاد الصغير","","false"
"كان هناك رجل اسمه فريد كان ينام على سريره الكبير ويجلس على برغوث يؤذي حيوانه الصغير ولم يذهب إلى السرير مرة أخرى","","false"
"كان هناك صبي اسمه مات وكان لديه مضرب كبير جدًا ضرب رأسه ثم ذهب إلى السرير وتعلم هذا الولد المسكين عدم استخدام المضرب","","false"
"هاهاهاها هاهاهاها هاهاهاها هاهاهاها هكذا تضحك أمي هاهاها","","false"
"بات و مات بات و مات كانا دائمًا مسطحين ولم يقوما بأي دورات على الإطلاق لذلك أصبحا سمينين للغاية وجلسا على القطة.","","false"
"w هو لفصل الشتاء عيد الميلاد في طريقه الشتاء قادم وأفضل عطلة","","false"
"عندما استيقظت في صباح أحد الأيام. كانت بطة على رأسي. سألت: ماذا تفعل هناك؟ نظر إلي وقال: «لا، لا تخرج من السرير». أنا متعب جدًا كما ترون بوضوح، لذا عد إلى السرير وأرجوك دعني أرحل! اخرج من غرفتي وإلا سأركلك في رأسك! "إنني أشعر بالجوع الشديد وسرعان ما ستغادر!""","","false"
"الربيع جيد. الربيع كبير. الربيع يمكن أن يوقفك في مساراتك. فقط لرؤية العشب الأخضر الجميل يرتفع تحت السماء الزرقاء. - اليكس","","false"
"يبدو الطقس الدافئ الرائع في الربيع رائعًا عندما تكون في عطلة الربيع. روائح الربيع المنعشة، مثل العشب الأخضر المقطوع، لها رائحة رائعة. موسم البيسبول هو أفضل لعبة ربيعية يمكنك لعبها! في الأيام الحارة يمكنك الذهاب إلى حمام السباحة. النسيم اللطيف يشعر بالارتياح عندما تكون بالخارج -أليكس","","false"
"عندما كنت طفلاً، كنت تبكي كثيرًا. سوف تدفعنا إلى الجنون عندما قلنا لك لا. كنت تصرخ وتصرخ في منتصف الليل. وبعض الجيران اعتقدوا أنك مشهد غريب. لكنك الآن لست طفلاً ولست كذلك على الإطلاق باستثناء أنك تقودنا إلى الجنون في مركز التسوق.","","false"
"الأشجار الأشجار الأشجار المجيدة كيف تحمل الكثير من الأوراق في الخريف والربيع والصيف الأشجار تبرد في الشتاء","","false"
"عظام نحيفة صعب الإرضاء، أنين قصير، غير لطيف، حزين أخرق، وحيد، منتقى مع أليكس","","false"
"1. عظام نحيفة 2. صعب الإرضاء، قصير 3. متذمر، غير لطيف، أخرق 4. حزين، وحيد، منزعج 5. أليكس","","false"
"فأر صغير مثل الفلس يضرب ظهر سلحفاة عجوز.","","false"
"نينتندو ممتعة ومرحة في كل مكان. تعد DSI وWII وPS3 وGameboy ممتعة للغاية. لدي في الغالب كل شيء بنفسي. ولكن ليس مربع x وpsp.","","false"
"حفاضات الأطفال كريهة الرائحة للغاية ولكنها مقززة. إذا كان عليك تغيير هذا الإجمالي. لا تلمسها أو تحتاج إلى العديد من الحفاضات.","","false"
"ذات مرة، كان هناك صبي اسمه كان يلعب بمفرده في الحديقة. لم يكن لديه صديق قط. والدته لم تحبه قط وكانت تشتمه دائمًا. أراد أن يكون محبوبًا لا أن يكون مكروهًا. لقد حكموا عليه دائمًا من خارجه وليس من داخله. كان لديه صديق لم يستخدمه حقًا. إنه لأمر محزن للغاية أنه يكره نفسه. المغزى من هذه القصة هو عدم الحكم على الناس أبدًا من الداخل وليس من الخارج، لأنه بغض النظر عن حجمهم أو لونهم، فإن ما يهم هو ما في الداخل فقط، لذلك لا تحكم على الناس من هناك في الخارج ولكن من هناك في الداخل.","","false"
"في أحد الأيام كنت أسير في عيد الهالوين ونظرت خلفي ورأيت مهرجًا صغيرًا استدار ظهره نحوي ورأيت قناع فريكي قبيحًا ومخيفًا للغاية","","false"
"كان هناك كلب اسمه كريسكو أراد الذهاب إلى سان فرانسيسكو وكان يلعب في الرمال الساخنة التي لم يستطع الوقوف عليها لذا قام فقط بأداء الديسكو المضحك","","false"
"الشيك النقدي إنفاق مذهل مفيد","","false"
"أنا شاعر، ولم أعلم أنني كاتب بدون قلم تمييز. أنا فتاة، بدون لؤلؤة. أنا صبي، بدون لعبة. أنا جاسوس، بلا عين. أنا أنا، وليس كل ما تراه!","","false"
