text,text_verified,verified
"أنا قرد آكل الموز لوني بني أعيش في الغابة مع عائلتي نحن نأكل الفواكه هي لذيذة مثل الحلوى التي خرجت من المصنع","","false"
"المدينة كبيرة جداً، واسعة جداً، عالية جداً. النجوم مثل عيون تنظر إليك. المدينة: صاخبة جداً، ساطعة جداً، مثل ضوء القمر. المدينة جميلة جداً.","","false"
"طعام، طعام، يا للطعام الرائع! دجاج، بازلاء، بطاطس وخضروات. أوه، كم أحب الطعام! في الصباح، في الليل. فطور، عشاء، حتى وقت الغداء. لا يهم أين، لا يهم متى، سأحب الطعام دائماً!","","false"
"السلحفاة التي سبحت عبر البركة تفاجأت بمنظر الضفادع.","","false"
"أنا أحب هيرشيز وإذا أخذتها سأصرخ عليك. إنها طرية جداً.","","false"
"ذات صباح وجدت ضفدعًا على رأسي وقلت ماذا تفعل على رأسي فقال أنا آكل الحلوى","","false"
"ذات مرة عندما استيقظت في صباح أحد الأيام، رأيت طفلًا عند الباب اسمه كورنينج. سألت، ''ماذا تفعل هناك؟'' وقف هناك فحسب و، نفش شعره. ''لماذا أبيع الكعك، ألا ترى؟''، قال. ثم اشتريت بعض الكعك الذي أكله أخي.","","false"
"الجو بارد، بارد جدًا، بارد لدرجة أنك قد تتجمد. الجو بارد جدًا، بارد جدًا، لدرجة أن عليك ارتداء ملابس دافئة. الجو بارد جدًا لدرجة أن عليك البقاء في الداخل.","","false"
"عقل مبدع يعمل. قوي وشديد! ذكي، وضخم مع. بعض النظارات الرائعة جدًا. ابتسامة رائعة. قلب استثنائي. مهذب وذو أخلاق حسنة . أب سعيد. طويل جدًا مثل الزرافة. حقًا هذا هو أبي.","","false"
"عندما استيقظت ذات صباح، صرخ سنجاب على رأسي. سألت، ''ماذا تفعل هناك؟'' نظر إلي وقال. . . ''لم أجد طاولة لذا أنا أجلس هنا بدلًا منها. أرى أنه ليس لديك كابل. لقد أكلت من خبزك. '' ''في طريقي عبر الردهة فقدت كل إحساس بالوقت. قررت أن أتصل بأصدقائي. قريبًا، سيكونون هنا، سترى. '' أحنيت رأسي في رعب. أمي ستغضب بشدة! قررت أن أعود إلى السرير وأصلح هذه الفوضى لاحقًا، ولكن كيف؟","","false"
"أحب الهامبرغر. الهامبرغر أحب أكله. لذا أصبح قاتلاً متربصاً. . . بقلب الأخت التي أحب أن أضربه.","","false"
"عندما استيقظت ذات صباح، جلس طائر على رأسي. سألت، ماذا تفعل هنا نظر إلي وقال. . . أمك ماتت، لذا أنا دليلك. الآن يجب أن تأكل المزيد من الخبز، وأبوك أيضاً مات","","false"
"شجرة قيقب كبيرة واقفة بلا حراك لحاء ناعم أوراق كبيرة ضخمة أناس يعلقون الدلاء","","false"
