id,title,author,grade,text,char,valence,arousal,dominance
120523,The sun in my life,jacqueline,12,في اليوم الذي التقينا فيه نحن الاثنان خجولان، لا نتحدث حقاً بينما الوقت يمضي نحن نتشارك الأشياء أحلامنا، أفكارنا، حتى مستقبلنا. جعلتني أبتسم في ظلمتي,275,3.6540780067443848,3.603845596313477,3.25396990776062
91074,Pritty picture,jade,12,هناك صورة في بيتي تجلس هناك فقط. زاوية تحمل زهرة حمراء داكنة مع بطاطسها جاهزة للسقوط. والإطار هو ذهب مع بعض النقاط الصغيرة وزاوية ثاي منحرفة شاحبة. هذه هي صورتي البراقية.,223,3.125317096710205,3.160308837890625,3.183411836624145
120909,Quintessential Quiet,jaelie,12,في حين تهمس عيناي ببرودة الفن ويرتجفان العاشقين حتى يصلا إلى رقائق الثلوج. وقطّبهما المسيح؛ وقبّلتهما أشجار الآلهة تناضل لتحريك أفرعها البيضاء تحت تلك البطانية المقدسة التي تميزت بشكل مقدس برقصات رقائق الثلج تعود بعقلها إلى الوراء، تثور أسئلة حول هذا النقاء: قضبان برقية برقية في الثلج المرصوف، تُعزى إلى المكان الذي جاء منه أو إلى المكان الذي قد يذهب إليه.,464,3.3623287677764893,3.3787589073181152,3.2148196697235107
120908,My First Sonnet,jaelie,12,"ولكن في حين ظلت الأرجل الرملية مسترخية في حين ظلت الأذان المحروقة مفتوحة وخائفة، في حين تحولت ظهورها المُقَلَّقة بالشمس إلى الظلال، فسألت خالقها: ""لماذا نُحَن نُحَنُ؟"" لم يُسْمَع شيء. ولكن من الناحية العقلانية، رأت أدمغة الأدمغة المكسورة سيدها يركض بعنف في حقول من البتلات السوداء والأبيض على زهرة واحدة. فعندما تتعثر في قلوبهم أفكار تمنياتها وتسقط في خنادق اليأس، فإنها تتشبث برؤيتها الأخيرة للأمل. وفي حين تجد مجدها، فإنها كانت تعلم أنها لم تعد منفصلة عن بعضها بالصباغ. ثم تلتصق القلب بالقلب، لأن الدم أحمر في كل الأحوال.",608,2.801438808441162,3.4150874614715576,2.9895522594451904
22903,See me,jaime,12,هل تريني أثق بحياتي؟ آتي إليكِ بدموع على عينيّ المفتوحتين أرى أني أهتم بالنظر إلى بؤسي هل أجرؤ حتى على إنهاء حياة ثمينة جداً ومليئة بطبقات مليئة بالعواطف,502,2.4120795726776123,3.5202040672302246,2.928300380706787
94231,Pain,jake,12,لقد وصلت الآن إلى نقطة اللاعودة. تسافر رائحة اللحم المحترق في الهواء، ثم صرخات الألم في الخارج من حيث لا. أين أنا؟ أين أنا؟ هل هذا الجحيم؟ ما الذي فعلته لأستحق هذا؟ هل الأسئلة التي تجري في ذهني. على أمل أن أجد إجابة من نوع ما. أنا خائفة. لا أعرف ماذا أفعل. هذا مؤلم. هذا مؤلم. يحرق. الله من فضلك ساعد. رجاء ساعدوني. أنا لم أفعل أي شيء لأستحق هذا. رجاء ساعدوني. رجاء ساعدوني. رجاء ساعدوني. رجاء ساعدوني.,508,2.279847383499145,3.6230974197387695,2.878450870513916
103518,Ozzy,jake,12,يا (ززي)، الشيطان الصغير الذي لن يوقفه أبداً لن يهدأ أبداً ويطارده حول الساحة ليعطيه حماماً، حب حياتي,231,3.619821548461914,3.757280826568604,3.3638269901275635
116050,Sonnet 1,james,12,يُؤْكِرُ خسارة في الوقتِ الثمينِ يَتْركُ عقلَي الفول السودانيَ يَمْزحُ كَيفَ تَجْعلُ روحُ واحدة عملَه يَجْعلُ عملَه يَجْعلُ عملَه كُلّ الثرثرةِ التي لا تَدْفَعُ تَفْكِيرُ أَنْ أَذْهبَ مواضيعَ مُفْرَضَةَ تَفْكِيرِ أَنْ أَذْهَبَ أَفْوِي أَفْكِرَ مِنْ أَنِّي أَنْ أَذْهَبَ مِنْ مَسْؤُولِي أَنْ يَنْزِلَ الأفكارَ يَبْدوُ تماماً تَكْتبُ,536,3.273205518722534,3.5059962272644043,3.1155202388763428
91077,Green,james,12,الأخضر مثل المال في البنك الأخضر يبدو مثل صدأ أوراق الأوراق الخضراء طعمها مثل الأخضر الأخضر هو لون عظيم للتفكير به,165,3.5066938400268555,3.211354255676269,3.231373786926269
60274,The waves of the seas,james,12,تحطّمت الموجات وصدمت نحو ظلام وميض بدا وكأن السحب كانت فجأة تنوح من أجل الموضة!,125,2.4697251319885254,3.5470616817474365,2.912388324737549
108115,Watermelon Kiss,james,12,أنا أبحث و أبحث عن واحد فقط الحق. أنا أبحث عن ثانية واحدة فقط و بالفعل أن نجم مثل هذا لا وجود له. ولكن بعد ذلك أنظر إلى جانبي و ماذا أجد؟ وضع بجانبي نجماً بهذا القدر. ليس في السماء حيث يجب أن تكون لكن هنا بجانبي. النجم الأكثر دهشة الذي رأيته يرسل من السماء إليّ كيف يمكن أن يكون هذا؟ لم أفعل أي شيء يستحق أن يُسلّم كل شيء لكن ها أنت ذا نجمي المشرق. قلبي على وشك أن ينفجر,1186,3.5930004119873047,3.662174701690674,3.308363676071167
119712,Sippy cup,jamie,12,أمي لم تعطني هدية عيد ميلادي الأول أمي لم تمنحني أبداً أوّل هدية عيد ميلاد,410,2.400952816009521,3.429041862487793,2.938401460647583
109215,One Divided by Two,jamilah,12,أنا، أنا، نفسي، شخصيتان متنوعتان جداً كما أسير من خلال الطرق والمداخل الصعبة، أجد نفسي أن أكون رجلاً، لا رجلاً ليكون. يبدو أني رئيس سلطتي الخاصة، وأنا أمسك أرضي وأتمكن من جعل الأمر يبدو كما لو أن لدي قوة بناء جسم. أعترف، لدي عضلات لأضرب شخصاً أقوى مثل ملاكم في اجتماع صندوق للتدريب، وضعي هو امرأة عدوانية من الضوء، اللحن البني، السروال، زر أسفل القميص، لا,1214,3.0908145904541016,3.317790269851685,3.3079323768615723
111466,Waiting,jana,12,أنتظر أن أجلس في الظلام منتظراً أن يعود إليّ هل يستطيع أن يسمع صراخي؟ هل يستطيع أن يشعر بدوعي؟ هل يستطيع أن يشعر بقلبي المنكسر؟ الله وحده يعلم حقيقة لماذا أنتظره,185,2.3568248748779297,3.3761229515075684,2.782100439071656
100153,Love Kills,janedra,12,أنا أَنا أَصْبحُ قلباً وروحاً لَيْسَ لَكَ كما لو أنك لا تَستطيعُ تَقْدرُ ما هو حقيقي أَو الحقيقة أَعتقدُ بأنّه كَانَ من الغباء أن أَنْ أَعْرفَ هو كَانَ هو كَانَ a يَعْرفُ هو كَانَ يُمْكِنُ أَنْ يَقْتلَ نفسي إذا نحن لا نَستطيعُ أَنْ نَكُونَ واحد هو الحقيقةُ لا حاجةَ لأَنْ أَحْبببُّك كثيراً أَأْخذُ حياتَي تَرْكَ العائلةَ والأصدقاءَ,1121,2.388145923614502,3.62486720085144,3.0507595539093018
110837,Greed,jasemin,12,أريد المزيد من القوة المالية و المزيد من المزيد من المزيد خذوا ما يمكنني أن لا أعطيه شيئاً من الجشع الذي هو أنا هذا كل ما سأضعه لكم وكلائي وسنرى من هو الأفضل في جشعكم أو جشعي,203,2.934584140777588,3.263966083526612,3.312705039978028
58716,love me,jasmine,12,أحبّني أحبّني أحبّ حبّي حبّي حبّي حبّي حبّيني حبّين اثنين لكنّي أَحبّك,44,4.482158660888672,3.832090139389038,3.4223473072052
104120,My Brother,jasmyn,12,أَنا مشرقةُ. أَتسائلُ إذا أنا يُمْكِنُ أَنْ أُعيدَ أَخَّي ثانيةً. أَسْمعُ صوته داخل رأسي. أَرى إنعكاسه في المرآةِ. أُريدُ رُؤيته مرّة أخيرة. أَنا وحيدُ بدونه. أَنا وحيدُ مِنْ دونه. أَدّعي لَستُ حزينَ. أَبْدو حزيناً. أَبْدو حزيناً، محبط، وغاضب. أَلْمسُ ملابسه وأفخر أملاكه. أَقْلقُ حول كَمْ حياتي سَتَكُونُ بدونه. أَبْكي كُل يوم عندما أَرى صورَه. أَنا مثل سحلية بدون ذيلِ. أَفْهمُ بأنّه في الجنةِ. أَقُولُ لنفسي.,472,2.450995922088623,3.4097273349761963,2.917307615280152
104330,Falling in love,jasmyn,12,لكن عندما تصابين بالقلب تبكين، تبكين على شخص تعشقينه حقاً، هذا غباء، يأخذونها بمزحة.,167,2.450803756713867,3.5071511268615723,3.023407459259033
32470,Kids,jason,12,الأطفال مثل سفينة فضائية تحاول أن تجعلهم على الهدف أحياناً يبقون خارج المسار أحياناً تفقد الاتصال,163,3.168506622314453,3.157589912414551,3.249128580093384
32472,Life,jason,12,الحياة مثل التزلج على الجليد لديك صعوداتك وهبوطاتك تصبح أسرع عندما تريدها أن تسير بشكل أبطأ ولكن عندما تصل الرحلة إلى نهاية,153,3.215543746948242,3.6365129947662354,3.28287935256958
32475,911,jason,12,تَطِيرُ عالياً في السماءِ عَيانٌ غيرَ عَيانِ العينِ العاديةِ... ... أَوْشَكَأنْيَضْربَبالغضبِ بينما السماءِ تَدُورُ أسوداً على تلك السماءِ الزرقاءِ,148,2.581584453582764,3.66733455657959,3.1411209106445312
32301,Animal,jason,12,أنا أسير خلال الظلام ضوء القمر يضيء طريقاً أنا مخلوق من الليل لا ينظر من قبل العين البشرية أنا وضعت في الفرشاة في انتظار فريستي ثم أضرب.,169,3.009220838546753,3.3558950424194336,3.2302372455596924
36917,America&apos;s Halo,jason,12,لقد مزقت الأجنحة من الفراشات سكبت الشباب من عيون الأطفال قطعت الحبل الذي أردنا تسلقه لكن تحديق شيطانك لا يخيفني في الجنة لقد أشعلت ناراً تدعى الجحيم,542,2.877211570739746,3.4591140747070312,3.1341707706451416
111512,Praise GOD,javier,12,رغم أن هذا يشعر باليأس وبدون نقطة، سأشكر الرب وبكل قلبي يفرح.,101,4.147279739379883,3.74917221069336,3.3473615646362305
107441,Kobe bryant,jay,12,يَدْعونَه أفضل أفضل كُلّ أفضل أفضل ثمّ jurdan هو يَضْربُ كُلّ مرّة مُحَصَّلَ مُسْتَحْصَلَة على نقاطِ لعبةِ واحدة هو يُسجّلُ 61 نقطةَ في لعبةِ واحدة أعتقد هو الأفضلَ أبداً لكن لَيسَ أفضلَ ثمّ jurdan i يَعتقدُ بأنّه يُمْكِنُ أَنْ يَكُونَ a أسطورة رقم 8 و24 يُمْكِنُ أَنْ يَنْ يَكُونَ a أسطورة يُمْكِنُ أَنْ يَنْ يَهْبطَ في التاريخِ,387,3.5781874656677246,3.4746439456939697,3.382807970046997
119572,Rarely Found,jaykob,12,أنا بعيد عن متناول اليد من معظم الناس. أنا خالدة من السعادة والمودة ولكن لا يوجد إلا القليل. أنا موضوع يسهل حله. أنا أرى من قبل كل من وجد بالقليل. أنا الأمل، والثقة، والتضافر، ولكن مختلف تماما.,229,3.480563163757324,3.3384358882904053,3.211989164352417
50147,Are you dead or are you sleeping,jaymes,12,(سام) قالا ما الذي تفعله نائماً ميتاً نائماً نائماً نائماً,274,2.561413288116455,3.25974702835083,3.0061724185943604
115994,Charcoal Reign,jazmin,12,أعتقد أن حكمك قد يكون متحللاً، لأن بياناتك تبدو غير صحيحة. أنت دائماً في القيادة، لا تتأرجح أبداً، بعيون من القطع المحروقة من الفحم. حيث في هذا السجن تجبرني على البقاء، أنا أفقد نفسي، قلبي، نفسي. أنا قوي، ولكن أين أنا ضعيف، تستخدم مخاوفي ضدي عبثاً، كما لو أنك ستكسبك الاحترام الذي تبحث عنه، لكنني لن أعطيك الاحترام بل الألم. ولكن ليس لفترة طويلة جداً، سيسقط عهدك قريباً. إرادتي قوية وظلي طويل.,599,2.486661434173584,3.313527107238769,3.044447183609009
110693,"Hey God,",jean,12,يا إلهي، هل فكرت في هذا، الجنس البشري. يا إلهي، هناك فوضى هنا على أرضك. يا إلهي، أتمنى ألا أكون مخطئاً في السؤال؟ يا إلهي، نحن بحاجة للمساعدة، يا إلهي، هل يمكن أن يكون لدينا جنة الآن؟,326,2.842756509780884,3.374100685119629,3.0992696285247803
36187,Nature&apos;s Song,jeanette,12,أنا أستيقظ في الصباح. أذهب إلى النهر لأغسل. أسمع صوت الأشجار، أشم الأزهار. أسمع صوت البطات تهتز. أرى القفز. أذهب إلى المنزل للحصول على عصا صيدي. أذهب إلى الأسفل عند الأرصفة. البركة مثل بطانية الماء المتدفقة، وضعت خطي في وأنتظر لدغة أنا أرقد، وشاهد البطات ترتفع,643,3.30603551864624,3.153839349746704,3.21741247177124
52164,Where do dreams come from?,jeanie,12,لماذا تهمس الرياح من خلال الأشجار الجوفاء، حيث لا يتجول أحد، أو ينظر، أو يرى. كيف يمكن أن يكون أنها تجعل الإيمان، أو قصة خيالية تحت قفل ومفتاح؟ في هذا المكان، سيشرق نجم، وهو أصغر من كرة من خيوط. مع أطياف بلورية من خلال الزجاج، أو هو أكثر هدوءا من الطبقة الرافعة. عندما تحدث الاكتشافات، فإن العثور عليها لن يأخذ شيئا. عندما تكون في شك تكتشف، حيث هذا المكان هو دون 'تصرخ بها. من خلف عقول الأطفال الجشعة، حيث الأفكار والتظاهرات تجعل نغمة. لأن هذا أكثر بكثير بكثير، من وراء بابك السري الخاص. nt\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t>,621,3.112492084503174,3.234695672988892,3.19905424118042
89840,River,jeehan,12,لقد كنت في النهر انها باردة مثل الفضة كنت على الجسر أنظر إلى النهر في الفجر رأيت بطات في النهر تتحرك المنظر طبيعي و من المدهش أن النهر هو مثل الحياة,346,3.73431921005249,3.489738941192627,3.2870748043060303
111979,For Whom The Bells Toll,jeff,12,في الظلام أنا أضع رأسي في الوسادة، وأخشى أن سريري هذا أسود هذا هو الطمأنينة، إنه بيتي لا يمكنني أن أفلت منه، بغض النظر عن المكان الذي أتجول فيه عندما كنت سعيداً وغُرِبت في ضوء لكن الظلام جاء وأعطاني الليل أشاهدهم جميعاً، أولئك الذين يحزنون لهم لأنهم يستطيعون المغادرة وأنا عالق في هذا الجحيم وأنا مريض، هو بيتي الذي لا يستطيع أبداً أن يحسدهم لأنهم أحرار وهذا شيء لن يكون أبداً,1373,2.7226195335388184,3.3379814624786377,3.015198469161988
84485,Words,jeff,12,إنها قريبة أو بعيدة قصيرة ونحيلة أنها تأتي من داخل إطلاق، عن طريق التخاطر... ............................................................ ...........................................................................................................................................................................................................................................................................................................................................................................................................................,414,3.132363796234131,3.335427761077881,3.2140512466430664
104547,Let me love you,jeff,12,وفقط القليل من الأشياء التي أحبّها أول مرّة رأيتك فيها عرفت أنّك من نوعي,312,4.101863384246826,3.824636697769165,3.4203145503997803
69576,Aiagater,jeffery,12,هذا هو الشيء الذي قام بفعله كان في غذائي,76,3.0840234756469727,3.020249366760254,3.223769187927246
57645,the pink slothes with no noses,jeffery willis,12,أعتقد أنني مجنون كيف يمكنني أن أقول بما أنني لا أملك حاسة الشم,86,2.6938695907592773,3.164422512054444,3.068365335464477
94740,The Most Amazing Hat,jeffrey,12,لقد صنعت أروع قبّعة تتألق وتألق طولها ونقطة في الأعلى مع تصميمات معقدة تسعة كرات انفف,445,3.7874698638916016,3.591424465179444,3.3753974437713623
22406,Motherhood Is...,jen,12,فقلبك مليء بالفرح عندما تشاهد طفلك ينمو ويحزن في نفس الوقت. خدودك تحترق من الابتسام باستمرار في طفلك الصغير فقط لتراه يبتسم لك. جفونك تعبة كما تهز طفلك في نوم يتهرب منه. هدوئك كما تشاهد طفلك الصغير ينام بسلام بين ذراعيك. سعادتك كطفلك يهتف بالاشياء الصغيرة. حسك بالفخر بكل قدرة جديدة ينمو طفلك الصغير. خوفك كما تدرك المسؤولية العظيمة,688,3.937601089477539,3.688022613525391,3.3063974380493164
113410,Writings,jenavieve,12,أحياناً أعتقد أن كلماتي ليست جميلة أبداً أن كلماتي هي فقط 26 حرفاً من البشر كل كلماتي لن تكون أبداً من فتاة هي؟ سأكتب و أكتب و أكتب ثم يوماً ما، ربما، شخص ما قد يقول هذا، هذا هو المفضل لدي,273,3.5502610206604004,3.5521206855773926,3.317089557647705
116132,Mother,jenifer,12,« كل دابة » حال من الأحوال « أصعد » أصعد « كل قوة » قوة « مني » على السفينة كل خطوة « أصعد السفينة » أصعدها « ودموع على خُدَّيْ » خُدَّتي « وأدرتُ » رجعتُ « ورأيتُ أمَّي حزنا » حزنتُ عليها « فبلا عَجَزْتُ » حال « و » لا « أنَّ » لا « تُزَخَّرْ » تُسْقَرُ « نباتاً سقياً » مطراً « لا تُزَخَّرُ » تُزَوَّج « الطيرُ غير المُرْكَزَةُ » الطير « يا ربِّ ربِّ يا ربِّ لِمَيَا هَلْ حَدِثَتْ هذه الأمور » أي لم تُسْتَعْجِبْ « هل » ما « تَعْلَهُمُمُونَ » يا « إجابُوا » يا « الزهرَةُ النَّةُزْمَتُ » الطيرُفْغْمْمْمْتَتَتُ « تَتُ » الطيرُوا « تدعوكم » تَعْلُونَتُونَ « فيها » تَتُونَ « تَتُونَ » تُونَتُمُونَ « تَتَعْتَعْتُونَعْتُمِيُونَ » تَعْتُمِيْتُمُونَعُونَ « فيها » تُونَ » تَعْتُمِيُمُمُمُونَعْنُونَعْنُونَنُّونَنُّونَ « بِيْتُمُمُمُونَ » تُمُمُمُمُمُمُمُمُمُونَنُّونَ « فيها » تُمُمُمُمُمُمُمُمُمُمُمُمُمُمُمُمُمُمُمُمُمُمُمُمُ,581,2.584808826446533,3.41263747215271,2.9704625606536865
49621,Trapped!!!,jenna,12,من أجل الياقوت نحن محتجزون هنا فقط يمكنك إنهاء خوفنا حتى بزوغ الفجر لا نستطيع أن نتكلم لا كلمات تأتي من هذا المنقار الحزين,200,2.723867416381836,3.2734122276306152,3.049295663833618
118869,For He Is Mine,jenna,12,أنت لا يمكن أن يكون له علاقة به - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -,2698,2.685508728027344,3.4139583110809326,3.0325286388397217
40737,Why Not,jennerfer,12,لماذا لا تأخذ فرصة مجنونة لماذا لا تكون رومانسية جديدة فقط المشي قليلا ببطء أبطأ قليلا مفتوحة حتى كنت تنظرون إلى أسفل قليلا لماذا لا تأخذ فرصة مجنون لماذا لا انها رومانسية جديدة,171,3.363607406616211,3.3511557579040527,3.296245574951172
40727,Snow,jennifer,12,يبدو العالم آمناً جداً ونظيفاً جداً ولطيفاً جداً وضعت على معطفي ووضعت حذاء على قدمي الأطفال يلعبون جميعاً لساعات في النهاية كرة ثلج ضخمة من ساحتي,271,4.011917591094971,3.719039440155029,3.403674364089966
