text,text_verified,verified
"أطعم كلابي بالملعقة كل يوم تقريباً بعد الظهر. وفي وقت مبكر من المساء، تحديداً في تمام الساعة الثامنة، أتناول الجلد، وطعمه رائع.","","false"
"الورود حمراء. البنفسج أزرق. السكر حلو، على عكسك.","","false"
"كلب يشخر، كلب يقفز، كلب مرقط، كلب أبيض، كلب أسود، كلب جيد، كلب ","","false"
"القطط. أنا أحب القطط، من لا يحب القطط؟ من لا يطعم القطط؟ من قال: "النمور أفضل من القطط"؟ أنا حقاً أحب القطط.","","false"
"الزهور حمراء، الزهور زرقاء، أنا أحبها، وأنت تحبني أيضاً.","","false"
"سقطت في حوض الاستحمام. سقطت في المغسلة. سقطت في مربى التوت. وخرجت وردية اللون.","","false"
"أشعر بحرارة الشمس، أريد أن أركض، الشمس ساطعة، أريد أن أشرب بعضًا من مشروب سبرايت، أريد أن أركض وأشعر بالحرية تحت السماء الزرقاء، أحب الذهاب إلى الحديقة، بعض الناس يخافون من الظلام","","false"
"تحتاج الأزهار إلى المطر، وهي ملونة، وتحتاج إلى الكثير من الشمس!","","false"
"يا ضوء النجوم، يا نجم ساطع، أول نجم أراه الليلة، أتمنى لو أستطيع، أتمنى لو أستطيع، أول نجم أراه الليلة.","","false"
"التوت، التوت، أنت مفيد، أنت مفيد للجسم، ولونك أزرق، ولهذا السبب أحبك!","","false"
"يا مطر، ارحل، عد في يوم آخر، جوني الصغير يريد أن يلعب، يا مطر، ارحل.","","false"
"إنهم عائلتي. أحب عائلتي. أستمتع بوقتي معهم.","","false"
"الشاي يجلب لي السعادة، الشاي المثلج، الشاي الأخضر، شايي المفضل","","false"
"أنت تقرأ قصيدة داخل قصيدة داخل قصيدة داخل قصيدة داخل قصيدة، هذه القصيدة لن تنتهي أبداً، لكن الباقي التهمه كلب الشعر الماكر.","","false"
"بدأت كحبة طماطم، ثم تحولت إلى كتلة زرقاء كبيرة، ألصقتها بالحائط، واصطدمت به. بدت حبة الطماطم الزرقاء الكبيرة ذات الكتلة أصغر بكثير مما كانت عليه. أخذت كرسيًا وأطلقت عليه اسم "كوير".","","false"
"النحلة تريد أن تلسعني. أوه، أوه! ماذا أفعل؟ أختبئ خلف شجرة. الورود حمراء، والبنفسج أزرق، وأنا أحبك. خلايا النحل على الأشجار، والأسماك في البحار.","","false"
"عندما استيقظت ذات صباح، وجدت طائرًا على رأسي، فسألته: ماذا تفعل! فقال: هذا ما قاله: يأكل شعري. يأكل طائرًا. لا، يأكل شعري. مهلاً، هذا شعري. فأخذته إلى الخارج.","","false"
"الورود حمراء والبنفسج أزرق، والصداقة لن تنتهي أبدًا مثل الغراء الملتصق بالورق.","","false"
"أمي أفضل من أبي. إما أنها تعمل، أو أنها تُعلّمني. تُساعدني على الحصول على أعلى الدرجات. إنها تعمل بجدٍّ من أجلي! أما أبي، فعندما يعود من العمل، يأخذ قيلولة دائمًا. أمي تفعل كل شيء! أحيانًا تغضب. حتى لو كانت مريضة، فإنها لا تزال تعمل. أمي هي الأفضل!","","false"
