text,text_verified,verified
"
هي سوداء كالليل، وعيناها برونزيتان، وذيلها حريريٌّ وريشيّ. ستتعلق بها حين ترى أنها ملاك صغير، وحين ترى رقتها. تسخر وهي تمشي، بمنقارها الرماديّ وقدميها الرماديتين، بينما يتساقط التراب عن جسدها. هي سوداء كالليل، ولهذا أسميها ليلة حالكة.",,FALSE
"مطر مطر يا له من منظرٍ بشع،فلماذا لا تنزل وتخوض معركة
",,FALSE
في صباح أحد الأيام، ذهبتُ إلى المدرسة، فرأيتُ كلبًا على مقعدي. ظنّ الجميع أنني أحمق عندما وضعته في حقيبتي. في ذلك اليوم، خلال حصة الرياضة، قفز على معلّمتي. ركضتُ نحوه ووضعته في حقيبتي المدرسية. بعد المدرسة، عدتُ إلى المنزل لأطمئن على أختي. كان لديّ بعض المال لأقرضه إياه لأشتري للكلب بيتًا. ذهبتُ لأشتري بيتًا. عدتُ إلى المنزل لأنام، لكنه صنع منه بلوزة! فأخذته إلى ملجأ الحيوانات!,,FALSE
كلبي بني، كلبي أسود. أحب كلبي، وهذا كل ما في الأمر.,,FALSE
بارد ولذيذ، أريد المزيد لكن أمي ترفض. أتذمر وأبكي، لكن لا، لن أحصل على الآيس كريم. أعتقد أنني لن أحصل على أي آيس كريم.,,FALSE
طنين، طنين النحلة الطنانة، رفرفة الذبابة، الفراشة! الذباب، الإنفلونزا؛ الحشرات تحب أن تتبعك!,,FALSE
الغيوم التي تراها تذهب طائرة ليس الشمس المطر أو الإعصار الغيوم لها أشكال وأحجام كثيرة أو هل هذا فقط ما أظنه نعم أنا ويمكن أن يكون أنت أنت قد تظن أن هذه ليست قصيدة ولكن ما أظنه ليس عليك أن تظنه أنت جاك كصديق,,FALSE
إنهم يدعونني صوت الحياة مشرق مثل الضوء لدي مستقبل كبير قادم لذا لا تقلق أنا أؤمن أنني أستطيع أن أكون نجمة من ليس بعيداً جداً لست قلقة لأنني أستطيع تحقيق هدفي أستطيع أن أكون نجمة أنا أؤمن بنفسي الآن أعرف من أنا أنا آسيا روبنسون وأنا نجمة خارقة,,FALSE
الحياة صعبة الحياة سهلة الحياة هي كل شيء الحياة كريهة الحياة رائعة الناس لا يدركون أن الحياة هي أهم شيء يمكن امتلاكه الناس يحبون الحياة ولكن البعض لا يحبها أعلم أنني أحبها أحياناً أتمنى لو لم تكن لدي حياة ولكن الآن أعرف أن الحياة مهمة,,FALSE
الإمساك بتلك الكرة المتعرجة في يدك يشعر وكأنه نتوءات لكنها كرة كرة السلة تشعر بأنها قوية جداً إنها برتقالية ومستديرة لذا يمكنك الاسترخاء,,FALSE
الماء مبلل الماء منعش الماء هو الأنهار والبحيرات والمحيطات والبرك الماء سائل بدون الماء يمكن أن تموت استمتع بالماء إنه ينقذ حياتك,,FALSE
أنا أحب يدي لأنني عندما أكون عطشانة يمكنني الإمساك بمشروب بارد لطيف وعندما أكون خائفة يمكنني الذهاب وتشغيل ضوء الليل الخاص بي ضوء الحمام ضوء التلفاز وضوء السلحفاة,,FALSE
الصيف هو فصلي المفضل ها هو أفضل سبب أحب السباحة في مسبحي إنها طريقتي المفضلة للبقاء منتعشة,,FALSE
هناك رقاقات ثلج تسقط بغزارة إخوتي وأنا في الساحة نحن نتزلج ونصرخ ييبي! ثم نتشقلب أسفل التل وخاصة أنا نذهب للتزلج مستمتعين بالكثير من المرح ثم بدؤوا في مطاردتي وبدأت أنا في الركض تعثرت وطرت مثل عصفور في السماء ثم بنينا جداراً ثلجياً عالياً جداً استلقينا وصنعنا ملائكة ثلجية بكثرة بعد 100 ملاك ثلجي بدت الأرض كأنها أرضية بيضاء دخلنا وشربنا الشوكولاتة الساخنة مع البخار ثم استيقظت لقد كان كل ذلك مجرد حلم,,FALSE
مرحبا مرحبا هل يوجد أي شخص هناك جلست وحيدة أشاهد دباً في الغابة لا زلت أنتظر . . . . لا زلت أنتظر ظهوره,,FALSE
مرحبا مرحبا هل يوجد أي شخص هناك؟أجلس وحيدة أشاهد دباً في الغابة لا زلت أنتظر . . . . . لا زلت أنتظر ظهوره,,FALSE
الربيع هنا زهور جميلة تظهر المطر غالباً ما يأتي في الداخل والخارج لا مزيد من الشمس ذهبت حتى الصباح,,FALSE
أنا أدور في لولب ليس لدي أدنى فكرة عما أفعله أنا أدور في لولب الممرضة تقول ذلك أيضاً ماذا يحدث لي لم أفعل شيئاً خاطئاً كما ترى باستثناء رمي عدوي فوق شجرة,,FALSE
لدي كلب اسمه كودا هو يحب شرب الصودا حاول شرب الشاي لكنه لسعته نحلة لذا عاد كودا إلى الصودا,,FALSE
أفضل جزء مني هو قدمي لو لم تكن لدي قدمي لم أكن لأستطيع الركض والقيام بسباقات مع أصدقائي التزلج على الجليد أو الرقص أنا أحب قدمي كثيراً إنها رائعة,,FALSE
فارس من قديم الزمان شجاع وجريء جداً لقد سمح لي باستخدام كهفه! لا عجب أنه شجاع جداً! أنا معروف باسم جو المدمر لماذا؟ أعتقد أنك تعرف!,,FALSE
إنها لطيفة جداً و لا تحب أن تجدها تحب الفطائر و لديها قلب كبير,,FALSE
إنها لطيفة جداً وهي تحب صيد الفئران لديها فراء بني وتحب الخرخرة,,FALSE
هو لطيف جداً هو لا يحب الفئران لديه قلب كبير وهو ذكي,,FALSE
"1 مغرفة 2 مغرفتان محاطة بحلقات الشوكولاتة وكتل رقائق الشوكولاتة أوه أتمنى لو كان لدي 100, 000, 000, 000, 000, 000 مغرفة!!!!",,FALSE
لدي شعر بني أنا بيضاء البشرة جداً أعيش في منزل ليس لدي فأر على الرغم من أنني أتمنى لو كان لدي لدي كلب هو يأكل مثل الخنزير أحب عائلتي كثيراً جداً,,FALSE
لا أريد الذهاب إلى المدرسة الإعدادية أفضل البقاء في المنزل واللعب في المسبح المدرسة الابتدائية تمر بسرعة بعد المدرسة الإعدادية لن أصمد! ليس لديكم حقائب ظهر في المدرسة الإعدادية لا أعرف ربما سيكون الأمر رائعاً نوعاً ما,,FALSE
أستيقظ على صوت زئير . خارج نافذتي . أرى إعصاراً . لقد التوى مثل خيوط المعكرونة . لقد كان عالياً ومخيفاً,,FALSE
حزمة من الفرح كرة فرو سوداء وسمراء يركض ببهجة شديدة لطيف كما يمكن أن يكون ينبح على السيارات فروي ولطيف جداً يلعب بسعادة كبيرة يحب الكلاب الأخرى أفضل كلب يمكن أن يكونه أسود وأسمر جداً هو لطيف جداً لا يمكنني العيش بدونه ولا هو بدوننا,,FALSE
قنافذ قنافذ قنافذ أوه أنا أحبك كثيراً تتدحرجين إلى كرات صغيرة ثم تداعبين أصابع قدمي كلبتي تود أكلكم سأكون غاضبة جداً سأضربها سوف تعبث وتكون حزينة جداً أنتم مخلوقات صغيرة شائكة قنافذ قنفذ قنفذ أوه أنا أحبك كثيراً,,FALSE
في الثالث عشر من أكتوبر نحتفل باكتشاف الولايات المتحدة الأمريكية نحن نكرم كولومبوس بكل الطرق لاكتشافه وطننا هو غير مصيرنا طلب من ملكة إسبانيا بعض السفن وبعض الرجال وذهب ليستكشف ويجد أرضاً جديدة بقي على متن السفينة لأيام وأيام خاطر بحياته دون أي ثناء أبحر لأسابيع مع الريح والمطر بثلاث سفن وتسعين رجلاً أبحر عبر المحيط الأطلسي اكتشف أرضاً ظن أنها الهند لكنه سرعان ما وجد أول الأمريكيين الأصليين استولى عليها وسماها أمريكا إذا لم يفعل هذا فأين سنكون؟ لهذا السبب في الثالث عشر من أكتوبر نحتفل بيوم كولومبوس!,,FALSE
هناك كل الأنواع المختلفة على الرغم من أن لديها غرامات باهظة عليك أن تدفع ثمن الماء والطعام واحذر من تغير مزاجها إنها حيوانات فروية تحب اللعب وتحبك إذا بادلتها الحب تأكد إذا كنت تريد كلباً أن تعتني به وتتأكد من أنه لا يخرج عن السيطرة,,FALSE
