text,text_verified,verified
"لم تستطع جيلي أبدًا الحفاظ على نظافة غرفتها. كانت فوضى عارمة. لا تحب أن تكون لطيفة. لقد سببت لنا الكثير من الضيق. كانت تستعير أشياءً ولا تعيدها. والآن عليّ أن أعترف أننا خبزنا جيلي في كعكة عيد ميلادي! وأكلناها حتى توقفت عن الصراخ، ولكن قبل أن نأكل أذنيها قلنا وداعاً يا جيلي!","","false"
"تنتشر الوردة الحمراء الحمراء في داخلك. تنظر الوردة الحمراء الحمراء إليك. لكن الوردة الحمراء الحمراء تنظر إلى نفسها في المرآة.","","false"
"ذكي جداً، أوركسترا، آلات موسيقية، جوقة، آذان مصغية","","false"
"لدي كلب يأكل بشراهة، ويعيش في مستنقع، وسرق ضفدعي.","","false"
"ستكون قصتي عن دجاجة حمراء صغيرة تعيش بمفردها في الغابة.","","false"
"مظلة شمسية (غير ضرورية) مشروب ماونتن ديو أنا آكل حلوى الجري","","false"
"تهب عليّ نسمة دافئة، تصفعني على ظهري، فتدفئني على الفور","","false"
"سانتا الأزرق أزرق، لكن قلبه كبير. إذا جمعتهما معًا، فلن تجد لديه زلاجة. إنه يمشي على كعبيه في بركة من القطران، لينتقل من مكان إلى آخر في هذا العالم البعيد.","","false"
"وجهي غريب، وجهي بنفسجي، وعلى وجهي أنفي، أنفي وردي، وفمي أخضر، مضحك جداً جداً جداً","","false"
"اللون البنفسجي هو لوني المفضل، أحياناً يكون داكناً وأحياناً فاتحاً، إنه لون رائع، ولهذا السبب هو لوني المفضل!","","false"
"ذهبتُ يوم السبت إلى مطعم سوبي دو، وقد أعجبنا به كثيراً. طلبت أمي طعامنا، وطلبتُ أنا لفائف تينا. كان لذيذاً.","","false"
"الشتاء بارد، الشتاء ممطر، الشتاء جريء، الشتاء قد حلّ.","","false"
"أنا عصفور صغير أحلق عالياً، أصعد عالياً وأبتعد نحو السماء. أدور وأدور وأدور، الطيور تطير بسرعة كبيرة، أما أنا فأطير ببطء شديد. أبدأ بالهبوط برفق، أنزلق نحو الأرض، بالكاد تلامس قدماي الأرض دون أن أُصدر صوتاً.","","false"
"أقدام أخي تنبعث منها رائحة كريهة، إنها أنتن من رائحة التفاحة الفاسدة، أنتن من رائحة الدب الميت، أنتن من رائحة لا أعرفها، كل ما أعرفه أنها تنبعث منها رائحة كريهة.","","false"
"قوس قزح، قوس قزح في السماء. كم أتمنى لو كنتِ لي. لو أستطيع رؤيتكِ كل يوم، لعشتُ في غاية السعادة. لو أستطيع القفز والوصول إلى ألوانكِ لأحتفظ بها... كل يوم!!","","false"
"عندما أسير في أرجاء المدينة، أسمع صوت الرياح وتساقط الأوراق. أرى الناس في المتجر، يبدو عليهم الاستمتاع بوقتهم. أرى الحلاق، إنه وحيد. أجلس معه ونتحدث. أعود إلى المنزل، فأجد أمي تنتظرني بذراعين مفتوحتين.","","false"
"مضحك ولطيف ويأكل ويسبح ويلعب، سمك يرقص تحت الماء، سمك سمين","","false"
"الورود حمراء، والبنفسج أزرق، أنا مغرم بك، هل أنت مغرم بي أيضاً","","false"
"عندما أكلت كيت، أكلت الطعم، مما جعل الصندوق يجد موعدًا. بقي الصندوق بالخارج حتى وقت متأخر. كان موعده من الرئيسيات. ثم قال رئيس الدولة إنه لا يستطيع رؤية رئيسياته","","false"
"اليوم عندما استيقظت كان هناك هوت دوغ على رأسي، ثم عندما تناولت الإفطار أكل كلب كل طعامي، كنت جائعًا جدًا، ثم عندما لعبت البيسبول كادت الكرة تصيب رأسي، ثم عندما حان وقت الغداء كان طعامي على رأسي، لكن على الأقل أكلت طعامي، ثم في العشاء كان طعامي ضخمًا فأكلته كله، ثم أصبح كل طعامي على رأسي، ثم عندما ذهبت للنوم كان هناك كلب على رأسي.","","false"
"اشترى سمك النينجا الطائر الشجاع طبقًا من مطعم ميش جيش. ثم رأى سمك النينجا الطائر الشجاع إيش. تمنى لو كان سمكة شجاعة. عاد إيش إلى مطعم ميش جيش. وكانت تلك نهاية إيش","","false"
"أنا قطة، أستلقي على حصيرة. أوه، ما هذا الذي أراه؟ طائر على شجرة قصيرة. أتقدم للأمام... أوه لا! يطير الطائر بعيدًا. حسنًا، أنا أنحف... سأضطر إلى انتظار عشاءي!","","false"
"أحياناً أشعر بالسعادة، وأحياناً أشعر بالحزن، وأحياناً أشعر بالغضب، لكن في معظم الأوقات أكون أنا فقط.","","false"
"ذهبت أنا وطاقمي إلى درو، فقال: كيف حالك يا بو؟ قلنا: الآن يا درو، دعنا نبحث عن الألوان، قال درو: يمكننا استخدام الأحمر والأزرق.","","false"
"الواجبات المنزلية، يا للواجبات المنزلية. أفضل القيام بالأعمال المنزلية! لأضعك في السجن، سأحتاج إلى بيع أغراض مستعملة. أفضل أن يلتهمني قرش مفترس للفتيات. بدلًا من أن أقوم بواجباتي المنزلية، يُسندها لي معلمي كل يوم. أكره الواجبات المنزلية بشدة، أتمنى لو لم تكن موجودة أبدًا! لو كانت موجودة، لألقيتها في الحوض! أكره الواجبات المنزلية بشدة!!!!!!!!!!!!!!!!","","false"
"قصيدة تستخدم الكلمات المركبة","","false"
"ولد صغير لطيف يمشي ويأكل ويأخذ فترات راحة دب صغير بني كثيف الشعر دب صغير مخيف","","false"
"عندما استيقظت ذات صباح، وجدت كلباً على رأسي. سألته: ماذا تفعل. فنظر إليّ وقال: أريد خبزاً.","","false"
"عندما استيقظت ذات صباح، كان هناك فأر على رأسي، فسألته: ماذا تفعل هناك؟ نظر إلي وقال: "أنا أقضم إجاصة!" وفجأة سمعت طرقًا على الباب، فذهبت إليه، فوجدت دبًا على الأرض.","","false"
"أنا نحلة العسل، لديّ ثلاثة أجزاء في جسمي: الأصفر والأسود. أبناء عمومتي لديهم بقع بيضاء، مما يعني أنهم لا يلسعون. أعيش في خلية نحل تحت الخشب. أطعم الصغار حليب النحل وخبز النحل، أما الملكات فيحصلن على غذاء الملكات. أهرب من الخطر بالطيران، لذا لا تقتربوا كثيرًا، فلا يوجد ما يحذركم","","false"
"إذا كان بإمكاني أن أصبح مدرسًا، سأكون الأفضل على الإطلاق. كنت أترك الأطفال يمضغون العلكة ويضعون أقدامهم على الحائط. لن يكون هناك شيء مثل الواجب المنزلي. فقط المرح والألعاب وافرة. الآن ألا تعتقد أن ذلك سيكون أمرًا رائعًا، إنها فكرة يجب استكشافها.","","false"
"طعم البروسيل سيئ ورائحته كريهة عندما يكون الجو دافئًا، أحبه عندما تصنعه أمي، لا أحب البروسيل الذي تقدمه المدرسة حقًا، إذا كان بإمكاني تغيير أي شيء، سأغير طعم البروسيل باستثناء طعم أمي","","false"
"السماء تبدو مثل الريح، لها رائحة الهواء النقي، تبدو مثل بقرة زرقاء وبيضاء.","","false"
"الصيف يُشبه صوت الماء في مسبحي. الصيف يُشبه رائحة الشواء. الصيف يُشبه طعم شرائح اللحم. الصيف يُشبه ركوب الدراجة. الصيف يُشعرني بالمرح!","","false"
"يا أمي، أنتِ رائعة، أنتِ أفضل أم بين كل الأمهات. لقد أصابنا كيوبيد، مرحباً، ما اسمكِ. كل طفل يستحق أماً مثلكِ، مسؤولة، حنونة، دافئة، ومحبة.","","false"
"كلمتي المفضلة هي مو، لا أعرف لماذا حدث ذلك في أحد الأيام مو","","false"
"باتمان ينقذ الموقف. باتمان يحارب الأشرار. باتمان يرسلهم إلى السجن. لأنه بطل خارق.","","false"
"يجعلني ذلك أشعر وكأنني ريشة، ثم أرغب في ارتداء الجلد، ثم أشعر بالطقس.","","false"
"الحرارة تجعلني أرغب في الجلوس، ثم أرغب في تناول الطعام، ثم مشاهدة برنامج "الحلقة الأضعف"، ولوني المفضل هو الوردي","","false"
"أقدام الخنزير موحلة للغاية، ورائحة أنفاس الخنزير كريهة مثل البيض الفاسد، وذيل الخنزير يشبه البطاطس المقلية المجعدة، ولكن الأهم من ذلك كله أن الخنازير تنبعث منها رائحة كريهة للغاية!!","","false"
"أنا حزين وسعيد وسيئ، لذا لا تعرضني يا أبي. هذا إعلان في الجريدة","","false"
"كلبي جميل ومنتفخ. إنه صغير وسريع أيضاً. أنفه مسدود تماماً. إنه سريع جداً لدرجة أنه سيتجاوزني بسهولة.","","false"
"لدي صديق جيد، لدي صديق جيد، إنه جيد جداً لدرجة أنه نشر قصيدته!!!","","false"
"مكتبي فوضوي، مليء بالأوراق والكتب والأقلام، أنظفه كل يوم. مكتبي فوضوي، أستغرب أنني أجد أي شيء فيه. مكتبي فوضوي، وأنا فخور جدًا بذلك.","","false"
"أزرق، أحمر، أصفر، أحمر داكن،","","false"
"هناك وحش في خزانتي، له عشر عيون! كلما دخلتُها يقفز فجأةً، وشعره أخضر فاقع! أتعرفون أنه شرير! شكله غريب جدًا. رغم أنني كنتُ خائفًا منه، إلا أنه يبدو صغيرًا جدًا، لكن طوله الحقيقي ثلاثة أمتار! قد يكون مضحكًا أحيانًا لأن أنفه يسيل دائمًا. يظن نفسه الأفضل! أفضل من الجميع! يصرخ الوحش ذو الرأس الأخضر عندما أكون في السرير! أعتقد أنه يختبئ داخل الجدران ويرمي عليّ كرات كثيرة. نسيتُ إن كان هذا حقيقيًا أم لا، لا بد أنه حلم!","","false"
"جايفون رائعٌ جدًا، وقضاء الوقت معه ممتع، إنه أفضل صديق لي في العالم. جايفون رائعٌ بكل معنى الكلمة. جايفون، إن كنت تقرأ هذا، أرجوك لا تبكِ.","","false"
"الحب ألم، والألم مطر، والمطر شكل، وأنت تعيش مع الألم؛ هذا ليس هو المهم","","false"
"ذهبت إلى الفراش في الساعة السابعة، كنت في غاية السعادة، استيقظت في الساعة الحادية عشرة، لقد كان حلماً، فذهبت إلى البث المباشر وصرخت","","false"
"أحب ذراعيّ لأنهما تساعدانني في الإمساك بالأشياء مثل الطعام وجهاز التحكم عن بُعد للتلفاز، وفي لعب الألعاب، وفي العمل أيضاً. إنهما مفيدتان جداً في أمور مثل فتح الباب، والتسلق، واستخدام السبورة الذكية، والقيام بالشقلبة، وقراءة كتاب مثل "بيت الشجرة السحري"، وغسل الملابس وإخراجها. حتى أنني أستخدمهما في المصارعة، فأنا أحب ذراعيّ كثيراً.","","false"
"تناولتُ رقائق البطاطس المقرمشة. لا أحبها مغموسة. أحب رقائق البطاطس مقرمشة، وبعضها يكون طريًا جدًا، وبعضها الآخر يكون طريًا جدًا أو رطبًا جدًا.","","false"
"شعر كلبي طويل جدًا لدرجة أنك بالكاد تستطيع رؤية وجهه، لكنني أعترف أنني أريد قصه. أنا أحب كلبي، وطالما أنني أهتم به، سأكون معه في كل مكان.","","false"
"كانت الوجوه البهيجة ترتسم عليها ابتسامات عريضة. قال أحدهم بحزن وابتسامة على وجهه: "يا إلهي!".","","false"
"القطة ترتدي قبعة. القبعة ترتدي القبعة. لكن أين تعيش القبعة. في القطة. تبقى القبعة في قطيع القطة.","","false"
"عندما استيقظتُ ذات صباح، وجدتُ حلزونًا على رأسي. سألته: ماذا تفعل هنا؟ نظر إليّ وقال: أحتاج إلى فراش، ورأسك مريح. سأبقى هنا إلى الأبد، وهكذا كان!","","false"
"بطاريق وردية اللون. شيتوس بالجبن والفلفل الحار. دجاج بالعسل الحار. نمور متذبذبة. مجموعة دببة محروقة كبيرة وشرسة. يا له من غداء صعب الإرضاء.","","false"
"القفز بالحبل، القفز بالحبل، القفز بالحبل ممتع للغاية، أحب القفز عالياً، أحب القفز منخفضاً، أنا فقط أحب القفز بالحبل.","","false"
"أتعهد بالالتزام بقواعد الجيداي. أتعهد باحترام جميع أشكال الحياة ومساعدة من هم أضعف مني؛ واستخدام القوة للخير فقط؛ وعدم سحب سيفي الضوئي في حالة الغضب، بل للدفاع عن من لا يستطيعون الدفاع عن أنفسهم.","","false"
"يبتسم الناس عندما يرونني أتسابق عبر الحلبة. أنا شاحنة عملاقة.","","false"
"كانت هناك فتاة تتمنى لو كانت ساحرة، ساحرة طيبة أيضًا، لأنها كانت تكره أن يعاملها الناس بقسوة. إلى أن اكتشفت يومًا أنها ساحرة، جربت قواها الجديدة، ولكن عندما كان الناس لئيمين معها، قالت: "لا تجبروني على استخدام قواي!". "ما هي قواي" "أوه، الآن تريدون معرفة ما يمكنني فعله. يمكنني تجميدكم، وتسميمكم، وقتلكم، ولكمكم، وركلكم، وصفعكم، وسجنكم" "حسنًا، حسنًا، أنا آسفة، لقد فزتِ، لقد فزتِ" قالت تاناشا. ثم أصبحت ساحرة إلى الأبد. النهاية","","false"
